action,entity,id,campaign,ad_group,target,old_bid,new_bid,clicks,spend,sales,orders,reason
changed,Keyword,543694741153459,NS - SP - Phrase - All Cutting Boards,All Products,cutting boards wood,0.84,0.63,118.0,132.05,74.95,1.0,"High ACOS (176% > target 15%, extreme): bid trimmed up to 25% [note: engine set 0.70 on 2026-07-16, file now shows 0.84 — bid was changed outside the engine]"
changed,Keyword,298434648367772,NS - SP - Phrase - All Cutting Boards,All Products,meat cutting board,0.88,0.66,15.0,16.88,13.95,1.0,"High ACOS (121% > target 15%, extreme): bid trimmed up to 25% [note: engine set 0.70 on 2026-07-16, file now shows 0.88 — bid was changed outside the engine]"
changed,Keyword,428783895764121,NS - SP - Phrase - All Cutting Boards,All Products,butchers block cutting board,1.03,0.77,164.0,195.67,224.85,1.0,"High ACOS (87% > target 15%, extreme): bid trimmed up to 25% [note: engine set 0.86 on 2026-07-16, file now shows 1.03 — bid was changed outside the engine]"
changed,Keyword,399289572307173,NS - SP - Phrase - All Cutting Boards,All Products,planche decouper en bois,1.07,0.97,16.0,19.92,119.95,1.0,"High ACOS (17% > target 15%, normal): bid trimmed up to 10%"
changed,Keyword,499248868250632,NS - SP - Phrase - All Cutting Boards,Large,large wood cutting board,1.46,1.31,23.0,35.16,119.95,1.0,"High ACOS (29% > target 15%, normal): bid trimmed up to 10%"
changed,Product targeting,301378243586420,SP - Auto - Low Bid - CA,End grain,loose-match,0.88,0.66,206.0,272.4,849.85,3.0,"High ACOS (32% > target 15%, extreme): bid trimmed up to 25% [note: engine set 0.73 on 2026-07-16, file now shows 0.88 — bid was changed outside the engine]"
changed,Keyword,353586547960220,NS - SP - Phrase - Maple,Generic Maple,maple cutting board,1.23,0.92,93.0,110.28,102.85,3.0,"High ACOS (107% > target 15%, extreme): bid trimmed up to 25% [note: engine set 1.00 on 2026-07-16, file now shows 1.23 — bid was changed outside the engine]"
changed,Keyword,562366733830233,NS - SP - Phrase - Maple,Generic Maple,maple cutting boards,1.2,0.9,21.0,23.34,13.95,1.0,"High ACOS (167% > target 15%, extreme): bid trimmed up to 25% [note: engine set 0.98 on 2026-07-16, file now shows 1.20 — bid was changed outside the engine]"
changed,Keyword,394285088447787,NS - SP - Phrase - Maple,Generic Maple,cutting board maple,1.71,1.81,17.0,19.01,184.9,2.0,"Low ACOS (10% <= 12% threshold, normal): bid +6%"
changed,Keyword,502396684456445,NS - SP - Phrase - Maple,Generic Maple,maple wood cutting boards,1.68,1.26,53.0,68.89,219.85,3.0,"High ACOS (31% > target 15%, extreme): bid trimmed up to 25% [note: engine set 1.44 on 2026-07-16, file now shows 1.68 — bid was changed outside the engine]"
changed,Keyword,281188428829549,NS - SP - Phrase - Mizu,All Products,cutting board,0.62,0.46,133.0,91.4,167.8,4.0,"High ACOS (54% > target 15%, extreme): bid trimmed up to 25% [note: engine set 0.60 on 2026-07-16, file now shows 0.62 — bid was changed outside the engine]"
